Código,Nome,Enderezo,Concello,Provincia,Cód. postal,Teléfono,Tipo de centro,COORDENADA_X,COORDENADA_Y,TITULARIDADE,ENSINO_CONCERTADO,DEPENDENTE,Distancia_Santiago_km,Tiempo_Santiago_min
15001136,IES Francisco Aguiar,Avenida Da Coruña 15,Betanzos,A Coruña,15300,881960165,IES,43.2824897766113,-8.21709442138672,Pública,Non,Si,66.8,48
15001148,IES As Mariñas,Avenida da Coruña s/n,Betanzos,A Coruña,15300,881880254,IES,43.2834777832031,-8.21562480926514,Pública,Non,Si,67.0,49
15002581,IES Alfredo Brañas,Rúa Vila de Corcubión s/n,Carballo,A Coruña,15100,981700911,IES,43.217155456543,-8.6851110458374,Pública,Non,Si,45.7,53
15002591,IES Monte Neme,Rúa Nacente 29,Carballo,A Coruña,15106,881960050,IES,43.2122917175293,-8.70439052581787,Pública,Non,Si,46.5,54
15003212,IES Agra de Raíces,Rúa Buenaventura Castro Rial,Cee,A Coruña,15270,881880486,IES,42.9579925537109,-9.18631935119629,Pública,Non,Si,72.9,83
15003224,IES Fernando Blanco,Avenida Fernando Blanco 99,Cee,A Coruña,15270,881880465,IES,42.9550247192383,-9.18651580810547,Pública,Non,Si,72.7,82
15004204,IES Rosalía Mera,Rúa Archer M. Huntington 24,A Coruña,A Coruña,15011,981252600,IES,43.372447968,-8.42169666299998,Pública,Non,Non,76.0,58
15005002,IES Ramón Otero Pedrayo,Avenida Monelos 10 A,A Coruña,A Coruña,15008,881960960,IES,43.3478775024414,-8.40366077423096,Pública,Non,Si,72.5,52
15005211,IES Salvador de Madariaga,Rúa Paseo de Ronda 49,A Coruña,A Coruña,15011,881960235,IES,43.370002746582,-8.42080116271973,Pública,Non,Si,75.6,57
15005221,IES Plurilingüe Eusebio da Guarda,Praza de Pontevedra 20,A Coruña,A Coruña,15003,881960060,IES,43.3683090209961,-8.40811061859131,Pública,Non,Si,74.5,55
15005233,IES Agra do Orzán,Rúa Alcalde Liaño Flores s/n,A Coruña,A Coruña,15010,881880080,IES,43.362693787,-8.42508411400001,Pública,Non,Si,74.9,57
15005245,IES Monelos,Rúa Montes 62,A Coruña,A Coruña,15009,881880041,IES,43.3494148254394,-8.40068912506104,Pública,Non,Si,72.6,54
15005257,IES Ramón Menéndez Pidal,Rúa Instituto Zalaeta,A Coruña,A Coruña,15002,981203000,IES,43.3736228942871,-8.39983940124512,Pública,Non,Si,75.3,57
15005269,IES Urbano Lugrís,Avenida de Arteixo,A Coruña,A Coruña,15007,881960715,IES,43.3505058288574,-8.41854190826416,Pública,Non,Si,74.2,54
15005269,IES Urbano Lugrís,Avenida de Arteixo,A Coruña,A Coruña,15007,881960715,IES,43.3505058288574,-8.41854190826416,Pública,Non,Si,63.7,75
15005300,IES Rafael Puga Ramón,Rúa Leopoldo Alas Clarín 4,A Coruña,A Coruña,15008,981080188,IES,43.3494873046875,-8.41105365753174,Pública,Non,Non,73.0,54
15005397,IES Fernando Wirtz Suárez,Rúa Cabaleiros 1,A Coruña,A Coruña,15006,881960260,IES,0.0,0.0,Pública,Non,Si,ERROR,ERROR
15005579,IES Plurilingüe Elviña,Rúa San José de Calasanz 6,A Coruña,A Coruña,15008,881961061,IES,43.3451461791992,-8.41067218780518,Pública,Non,Si,72.5,52
15006687,IES de Catabois,Estrada de Catabois s/n,Ferrol,A Coruña,15405,881930233,IES,43.5065803527832,-8.22056865692139,Pública,Non,Si,97.4,67
15006730,IES Sofía Casanova,Rúa O Galego Soto s/n,Ferrol,A Coruña,15403,981311500,IES,43.485897064209,-8.22219944000244,Pública,Non,Si,96.7,68
15006742,IES Concepción Arenal,Rúa Cuntis s/n,Ferrol,A Coruña,15403,881930170,IES,43.4877738952637,-8.228759765625,Pública,Non,Si,96.8,68
15006791,IES Saturnino Montojo,Avenida Mac Mahon s/n,Ferrol,A Coruña,15403,881930225,IES,43.4797134399414,-8.22501564025879,Pública,Non,Si,97.2,69
15008301,IES Urbano Lugrís,Estrada Santo Hadrián s/n,Malpica de Bergantiños,A Coruña,15113,881880725,IES,43.3237266540527,-8.83340454101563,Pública,Non,Si,74.2,54
15008301,IES Urbano Lugrís,Estrada Santo Hadrián s/n,Malpica de Bergantiños,A Coruña,15113,881880725,IES,43.3237266540527,-8.83340454101563,Pública,Non,Si,63.7,75
15008817,IES de Melide,O Marquiño,Melide,A Coruña,15800,881866109,IES,42.9177474975586,-8.01108741760254,Pública,Non,Si,53.0,47
15010812,IES Virxe do Mar,Avenida Rosalia Castro 1,Noia,A Coruña,15200,881866831,IES,42.7843055725098,-8.88857078552246,Pública,Non,Si,38.9,36
15012730,IES Camilo José Cela,Rúa Carme 43,Padrón,A Coruña,15900,881866240,IES,42.7371139526367,-8.6633996963501,Pública,Non,Si,28.6,27
15014568,IES Nº 1,Avenida da Coruña 170,Ribeira,A Coruña,15960,881866904,IES,42.568649292,-8.98449897900002,Pública,Non,Si,67.4,49
15015743,IES Arcebispo Xelmírez I,Rúa Poza de Bar s/n,Santiago de Compostela,A Coruña,15705,881866962,IES,42.8782577514648,-8.55269145965576,Pública,Non,Si,1.4,6
15015755,IES Plurilingüe Rosalía de Castro,Rúa San Clemente 3,Santiago de Compostela,A Coruña,15705,881866556,IES,42.877574921,-8.54671764400001,Pública,Non,Si,0.2,1
15015861,IES Eduardo Pondal,Rúa Doctor Maceira 9,Santiago de Compostela,A Coruña,15706,881866367,IES,42.8710594177246,-8.55441856384277,Pública,Non,Si,1.4,5
15015861,IES Eduardo Pondal,Rúa Doctor Maceira 9,Santiago de Compostela,A Coruña,15706,881866367,IES,42.8710594177246,-8.55441856384277,Pública,Non,Si,66.3,77
15020544,IES de Ortigueira,Rúa Constitución s/n,Ortigueira,A Coruña,15330,881930407,IES,43.6861801147461,-7.85483837127686,Pública,Non,Si,135.9,111
15020556,IES Breamo,Rúa Ricardo Sanchez 5,Pontedeume,A Coruña,15600,881930435,IES,43.4060707092285,-8.16719818115234,Pública,Non,Si,81.6,57
15021470,IES Canido,Rúa Navegantes s/n,Ferrol,A Coruña,15401,881938230,IES,43.4874572753906,-8.23963832855225,Pública,Non,Si,96.8,68
15021482,IES San Clemente,Rúa San Clemente s/n,Santiago de Compostela,A Coruña,15705,881867501,IES,-8.54745292699999,42.878562927,Pública,Non,Si,0.4,2
15021755,IES Cabo Ortegal,Rúa POZO DE PEREIRA 22,Cariño,A Coruña,15360,881960101,IES,43.7384185791016,-7.87852239608765,Pública,Non,Si,136.1,113
15021767,IES Plurilingüe Castro da Uz,Rúa José Mª Penabad López s/n,As Pontes de García Rodríguez,A Coruña,15320,881930001,IES,-7.853585721,43.461284637,Pública,Non,Si,110.7,88
15022620,IES de Curtis,Rúa Germán de Castro s/n,Curtis,A Coruña,15310,881880620,IES,43.1195640563965,-8.14786434173584,Pública,Non,Si,54.8,51
15023090,IES Macías o Namorado,Rúa Agro do Medio s/n,Padrón,A Coruña,15900,881866760,IES,42.735424041748,-8.66215515136719,Pública,Non,Si,28.8,28
15023302,IES Manuel Murguía,Avenida Arsenio Iglesias s/n,Arteixo,A Coruña,15142,881961260,IES,-8.50953865100001,43.309734344,Pública,Non,Si,85.4,62
15023314,IES de Sabón,Avenida Arsenio Iglesias 47,Arteixo,A Coruña,15142,881960140,IES,43.3120803833008,-8.51039695739746,Pública,Non,Si,85.2,61
15023338,IES Praia Barraña,Avenida Compostela s/n,Boiro,A Coruña,15930,881866601,IES,42.6426734924316,-8.89306831359863,Pública,Non,Si,54.4,43
15023466,IES Lamas de Abade,Rúa Raiola 8,Santiago de Compostela,A Coruña,15702,881866611,IES,42.8547019958496,-8.52408409118652,Pública,Non,Si,5.5,12
15025268,IES As Telleiras,Estrada Cedeira km.1,Narón,A Coruña,15570,881930350,IES,43.5146408081055,-8.18900966644287,Pública,Non,Si,93.6,64
15025301,IES Arcebispo Xelmírez II,Rúa Irmandiños 15,Santiago de Compostela,A Coruña,15704,881867055,IES,42.8928985595703,-8.53436088562012,Pública,Non,Si,2.8,9
15025530,IES da Pobra do Caramiñal,Xobre (Maño),A Pobra do Caramiñal,A Coruña,15940,881867064,IES,42.5958709716797,-8.92855834960938,Pública,Non,Si,65.5,50
